State,Year,Data.Population,Data.Rates.Property.All,Data.Rates.Property.Burglary,Data.Rates.Property.Larceny,Data.Rates.Property.Motor,Data.Rates.Violent.All,Data.Rates.Violent.Assault,Data.Rates.Violent.Murder,Data.Rates.Violent.Rape,Data.Rates.Violent.Robbery,Data.Totals.Property.All,Data.Totals.Property.Burglary,Data.Totals.Property.Larceny,Data.Totals.Property.Motor,Data.Totals.Violent.All,Data.Totals.Violent.Assault,Data.Totals.Violent.Murder,Data.Totals.Violent.Rape,Data.Totals.Violent.Robbery
Alabama,2019,4903185,2674.4,531.9,1886.1,256.5,510.8,381,7.3,42.2,80.4,131133,26079,92477,12577,25046,18679,358,2068,3941
Alaska,2019,731545,2910.8,487.1,2066,357.7,867.1,596,9.4,148.7,112.9,21294,3563,15114,2617,6343,4360,69,1088,826
Arizona,2019,7278717,2440.5,394.3,1796.9,249.4,455.3,311.9,5,50.3,88.1,177638,28699,130788,18151,33141,22704,365,3662,6410
Arkansas,2019,3017804,2858,599.6,2012.6,245.9,584.6,447.8,8,77.2,51.6,86250,18095,60735,7420,17643,13513,242,2331,1557
California,2019,39512223,2331.2,386.1,1586.3,358.8,441.2,267.1,4.3,37.5,132.4,921114,152555,626802,141757,174331,105541,1690,14799,52301
Colorado,2019,5758736,2590.7,348.4,1858.3,384,381,246.3,3.8,67.2,63.6,149189,20064,107012,22113,21938,14185,218,3872,3663
Connecticut,2019,3565287,1426.6,180.7,1078.7,167.3,183.6,105,2.9,21.6,54.1,50862,6441,38457,5964,6546,3742,104,771,1929
Delaware,2019,973764,2252.2,304.8,1782.7,164.7,422.6,304.7,4.9,31.8,81.1,21931,2968,17359,1604,4115,2967,48,310,790
District of Columbia,2019,705749,4367.1,261.1,3775.4,330.6,1049,592.1,23.5,48.9,384.4,30821,1843,26645,2333,7403,4179,166,345,2713
Florida,2019,21477737,2145.7,295.2,1668.7,181.8,378.4,258.3,5.2,39.4,75.5,460846,63396,358402,39048,81270,55475,1122,8456,16217
Georgia,2019,10617423,2375.8,372.1,1779.8,223.9,340.7,232,6.2,27.5,75,252249,39506,188967,23776,36170,24633,654,2922,7961
Hawaii,2019,1415872,2841.2,377.2,2093,371.1,285.5,148.2,3.4,54,79.9,40228,5340,29634,5254,4042,2098,48,765,1131
Idaho,2019,1787065,1219.5,219.7,911.8,87.9,223.8,167.9,2,45.3,8.7,21793,3927,16295,1571,4000,3001,35,809,155
Illinois,2019,12671821,1846.5,271.7,1426.6,148.2,406.9,254,6.6,48,98.4,233984,34433,180776,18775,51561,32187,832,6078,12464
Indiana,2019,6732219,1971,323.7,1443.4,203.8,370.8,249.3,5.6,36.8,79.2,132694,21795,97176,13723,24966,16783,377,2475,5331
Iowa,2019,3155070,1733.7,371.1,1199.6,163,266.6,200.4,1.9,36.9,27.4,54699,11710,37847,5142,8410,6323,60,1164,863
Kansas,2019,2913314,2314.5,342.7,1721.9,249.9,410.8,314.2,3.6,48.6,44.4,67428,9984,50165,7279,11968,9154,105,1416,1293
Kentucky,2019,4467673,1897.4,345.7,1323.5,228.2,217.1,128.6,4.9,35.2,48.4,84769,15443,59130,10196,9701,5747,221,1572,2161
Louisiana,2019,4648794,3162,579,2352.4,230.5,549.3,402.1,11.7,48.9,86.6,146993,26918,109359,10716,25537,18695,544,2273,4025
Maine,2019,1344212,1245.6,174.8,1016.7,54,115.2,61.3,1.5,38.4,14,16743,2350,13667,726,1548,824,20,516,188
Maryland,2019,6045680,1950.2,278.9,1485,186.2,454.1,261.3,9,31.6,152.2,117901,16862,89780,11259,27456,15798,542,1913,9203
Massachusetts,2019,6892503,1179.8,179,911.8,89,327.6,241,2.2,32,52.4,81317,12341,62844,6132,22578,16609,152,2204,3613
Michigan,2019,9986857,1585,286.1,1121.3,177.7,437.4,305.9,5.6,72.4,53.6,158296,28572,111980,17744,43686,30545,556,7235,5350
Minnesota,2019,5639632,2078.8,282.4,1597.5,198.9,236.4,135.1,2.1,43.4,55.8,117236,15927,90092,11217,13332,7618,117,2448,3149
Mississippi,2019,2976149,2375.8,627,1555.7,193.1,277.9,184.6,11.2,25.1,57.1,70707,18660,46300,5747,8272,5493,332,747,1700
Missouri,2019,6137428,2638.7,430.4,1865,343.3,495,357.4,9.3,47.5,80.8,161946,26414,114460,21072,30380,21936,568,2917,4959
Montana,2019,1068778,2193.2,270.1,1700.6,222.4,404.9,324.9,2.5,58.4,19.2,23440,2887,18176,2377,4328,3472,27,624,205
Nebraska,2019,1934408,2039.3,245.3,1536.3,257.7,300.9,192.9,2.3,64.8,40.9,39449,4745,29719,4985,5821,3731,45,1253,792
Nevada,2019,3080156,2322.1,503.5,1453,365.6,493.8,312.3,4.6,70.2,106.7,71525,15510,44755,11260,15210,9620,143,2161,3286
New Hampshire,2019,1359711,1209.2,126.3,1017.3,65.7,152.5,83.7,2.4,43.4,23,16442,1717,13832,893,2074,1138,33,590,313
New Jersey,2019,8882190,1335.7,184.6,1034.7,116.4,206.9,122.2,2.9,17.2,64.5,118637,16399,91902,10336,18375,10852,262,1531,5730
New Mexico,2019,2096829,3112.7,696.8,1988.8,427.2,832.2,650.5,8.6,61.4,111.6,65269,14610,41702,8957,17450,13640,181,1288,2341
New York,2019,19453561,1373.3,141.9,1166.1,65.3,358.6,229,2.9,33.8,92.9,267155,27600,226851,12704,69764,44555,558,6583,18068
North Carolina,2019,10488084,2357.3,519.1,1666,172.2,371.8,262.4,6,31,72.5,247236,54447,174728,18061,38995,27517,632,3247,7599
North Dakota,2019,762062,1977,342.2,1399.6,235.2,284.6,200.6,3.1,57.3,23.5,15066,2608,10666,1792,2169,1529,24,437,179
Ohio,2019,11689100,2055.7,375.5,1520.4,159.7,293.2,163.9,4.6,49,75.7,240291,43894,177725,18672,34269,19154,538,5731,8846
Oklahoma,2019,3956971,2845.3,671.7,1835.5,338.1,431.8,307.9,6.7,57.3,59.9,112587,26577,72632,13378,17086,12183,266,2268,2369
Oregon,2019,4217737,2730.6,349.1,2021.5,360,284.4,185.5,2.8,42.2,54,115170,14724,85261,15185,11995,7825,116,1778,2276
Pennsylvania,2019,12801989,1403.4,182.4,1124.2,96.8,306.4,191.1,5.2,34,76.1,179665,23354,143921,12390,39228,24465,669,4351,9743
Rhode Island,2019,1059361,1534.8,219.1,1187.5,128.2,221.1,132.9,2.4,46.3,39.5,16259,2321,12580,1358,2342,1408,25,491,418
South Carolina,2019,5148714,2940.3,533.4,2116.1,290.8,511.3,390.5,9,47.8,64,151389,27461,108953,14975,26323,20105,464,2460,3294
South Dakota,2019,884659,1771,299.1,1273.4,198.5,399,302.5,1.9,72.6,22,15667,2646,11265,1756,3530,2676,17,642,195
Tennessee,2019,6829174,2652.6,437.4,1934.4,280.9,595.2,456.7,7.3,41.2,90.1,181153,29869,132104,19180,40647,31186,498,2813,6150
Texas,2019,28995881,2390.7,392.8,1730.6,267.2,418.9,263,4.9,51.1,100,693204,113902,501813,77489,121474,76253,1409,14824,28988
United States,2019,328239523,2109.9,340.5,1549.5,219.9,379.4,250.2,5,42.6,81.6,6925677,1117696,5086096,721885,1245410,821182,16425,139815,267988
Utah,2019,3205958,2169.3,276.7,1682.4,210.2,235.6,141.4,2.2,56.8,35.1,69546,8871,53937,6738,7553,4534,72,1822,1125
Vermont,2019,623989,1424.4,204.3,1172.3,47.8,202.2,144.6,1.8,44.6,11.4,8888,1275,7315,298,1262,902,11,278,71
Virginia,2019,8535519,1642.7,162.8,1359.5,120.3,208,128.7,5,33,41.3,140213,13900,116044,10269,17753,10987,426,2816,3524
