Num,Location,Text
1,Luke 2:10,"behold, I bring you good tidings of great joy"
2,2 cor 9::7,God loves a cheerful giver
3,Luke 2:11,"For unto you is born this day in the city of David a Saviour, which is Christ the Lord"
4,Psalm 92:12,The righteous shall flourish like a palm tree
5,Prov 6:6,"Go to the ant, you sluggard; consider its ways and be wise"
6,Matthew 11:28,Come unto me ... and I will give you rest
7,Isaiah 53:5,He was crushed for our sins
8,psalm 23:3,He restores my soul
10,John 14:27,Peace I leave with you; my peace I give you.
11,PS 139 :12,the night will shine like the day
12,Isaiah 53:5,He was punished so we would have peace
14,Daniel 6:22,My God sent His angel and shut the lions' mouths
16,Isaiah 53:5,But He was hurt for our wrong-doing.
18,Isaiah 53:5,He was beaten so we would be healed
19,John 19:30," Jesus said, It is finished"
