FL_DATE,DAY_NAME,CARRIER,ORIGIN,ORIGIN_CITY,ORIGIN_STATE,DEST,DEST_CITY,DEST_STATE,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,AIR_TIME,DISTANCE
8/1/2017,Tuesday,WN,ALB,Albany, NY,FLL,Fort Lauderdale, FL,710,705,-5,10,715,959,7,1020,1006,-14,0,,164,1204
8/1/2017,Tuesday,WN,ALB,Albany, NY,MCO,Orlando, FL,715,714,-1,9,723,949,7,1005,956,-9,0,,146,1073
8/1/2017,Tuesday,WN,ALB,Albany, NY,TPA,Tampa, FL,625,625,0,6,631,903,4,920,907,-13,0,,152,1130
8/1/2017,Tuesday,WN,BUF,Buffalo, NY,FLL,Fort Lauderdale, FL,550,550,0,10,600,825,10,845,835,-10,0,,145,1166
8/1/2017,Tuesday,WN,BUF,Buffalo, NY,MCO,Orlando, FL,1035,1031,-4,10,1041,1253,7,1310,1300,-10,0,,132,1011
8/1/2017,Tuesday,WN,BUF,Buffalo, NY,MCO,Orlando, FL,500,500,0,10,510,714,7,730,721,-9,0,,124,1011
8/1/2017,Tuesday,WN,BUF,Buffalo, NY,MCO,Orlando, FL,1740,1738,-2,9,1747,2001,10,2010,2011,1,0,,134,1011
8/1/2017,Tuesday,WN,BUF,Buffalo, NY,TPA,Tampa, FL,505,502,-3,11,513,723,4,735,727,-8,0,,130,1053
8/1/2017,Tuesday,WN,ISP,Islip, NY,FLL,Fort Lauderdale, FL,525,541,16,9,550,818,6,820,824,4,0,,148,1092
8/1/2017,Tuesday,WN,ISP,Islip, NY,MCO,Orlando, FL,2050,2044,-6,9,2053,2311,7,2330,2318,-12,0,,138,971
8/1/2017,Tuesday,WN,ISP,Islip, NY,MCO,Orlando, FL,605,604,-1,8,612,824,7,840,831,-9,0,,132,971
8/1/2017,Tuesday,WN,ISP,Islip, NY,MCO,Orlando, FL,1210,1204,-6,8,1212,1427,10,1455,1437,-18,0,,135,971
8/1/2017,Tuesday,WN,ISP,Islip, NY,PBI,West Palm Beach/Palm Beach, FL,805,801,-4,14,815,1043,4,1045,1047,2,0,,148,1052
